Seller,Seller URL,Business Name,Business Address,Brand,Product Name,Price (USD),Number of Ratings,Customer Rating,product url,Best Sellers Rank,Category Rank,Search input,Total Results,ASIN,Selected Size,Selected Size ASIN,Date Scraped,Week Scraped,Package Dimensions,Item model number,Department
Amazon.com,https://www.amazon.com,,,Nike,Nike Women's Uplift Sc Shoes Sneaker,65,,4.6,https://www.amazon.com/dp/B0F13FK8LX,,,Nike sneakers,10000,B0F13FK8LX,5,B0F13FK8LX,24-01-2026,19-01-2026,,,
SAN GEORGE USA,https://www.amazon.com/sp?seller=A3OASQZESAAPHK,SAN GEORGE NEW FASHION,"42213 Sarah Way Temecula CA 92590 USA, TEMECULA, CA, 92590, US",,Nike Mens Nike Dunk Low Retro,,,,https://www.amazon.com/dp/B08QBXWBVR,"#651786 in Clothing, Shoes & Jewelry",#361 in Men's Basketball Shoes,Nike sneakers,10000,B08QBXWBVR,9,B08QBXWBVR,24-01-2026,19-01-2026,,,mens
TyroneW,https://www.amazon.com/sp?seller=A3KR10Y2WAEPZW,Us aaronwan trading inc,"78 hyacinth rd, levittown, NY, 11756, US",Nike,Nike Womens Motiva,,,4.3,https://www.amazon.com/Nike-Womens-Motiva-Sneaker-Photon/dp/B0DVJ6WK6R/ref=sr_1_124?dib=eyJ2IjoiMSJ9.DWfKZuhOL77mCjhk1afjg1AMiD-IdGcXSmpF_wd1vtxSoTtf3PdbnQrC-2cAnCCAw1xCM_Vv_FCBTe8TFDmMVhM6I84PbF9RebrW1PxbM62EMZ1MoM-8QzZDV8qpMGU0LrLauEKLsmt3iYxKZrHmO4k0CXNdU_2SzSSQ1M9nznOfVE9kD5G84qZfhjKiQYaJsxVmeGdjfVcIjBUtaqxB_fM4nSeNW-tNSec5v-s6bKIg0ki2bfKeiWggcbUF76GiwBybe25jsDScATXtkZBWvJmP2bnBy2vdIwLkMWHzFpY.SzK56UvbwIaXtr_-fxRc1ve0OeuM6agN5PpsiR5OW0w&dib_tag=se&keywords=Nike+sneakers&qid=1769196700&sr=8-124&xpid=D1B3IaH-Zvul3,"#154257 in Clothing, Shoes & Jewelry",#632 in Women's Road Running Shoes,Nike sneakers,10000,B0DVJ6WK6R,,,24-01-2026,19-01-2026,,NKDV1238-501,womens
Campway,https://www.amazon.com/sp?seller=A3KA2HCHD9WNM8,Stranger Music Production LLC,"900 Brentwood Rd., Northeast, PO Box 92613, Washington, DC, 20090, US",Nike,Nike Mens Sneaker,,,4.4,https://www.amazon.com/dp/B0B6G6BHBF,"#150595 in Clothing, Shoes & Jewelry",#341 in Men's Road Running Shoes,Nike sneakers,10000,B0B6G6BHBF,7,B0B6G6BHBF,24-01-2026,19-01-2026,,DM1120-001,mens
Alexanderpreme,https://www.amazon.com/sp?seller=A20UJJIZXKRPMS,Matthew Lopez,"1723 oakwood dr, CLUTE, TX, 77531, US",Nike,Nike Flex Runner 2 (Big Kid),,,4.4,https://www.amazon.com/Nike-Runner-Pewter-White-Medium/dp/B09V7YWMKF/ref=sr_1_122?dib=eyJ2IjoiMSJ9.DWfKZuhOL77mCjhk1afjg1AMiD-IdGcXSmpF_wd1vtxSoTtf3PdbnQrC-2cAnCCAw1xCM_Vv_FCBTe8TFDmMVhM6I84PbF9RebrW1PxbM62EMZ1MoM-8QzZDV8qpMGU0LrLauEKLsmt3iYxKZrHmO4k0CXNdU_2SzSSQ1M9nznOfVE9kD5G84qZfhjKiQYaJsxVmeGdjfVcIjBUtaqxB_fM4nSeNW-tNSec5v-s6bKIg0ki2bfKeiWggcbUF76GiwBybe25jsDScATXtkZBWvJmP2bnBy2vdIwLkMWHzFpY.SzK56UvbwIaXtr_-fxRc1ve0OeuM6agN5PpsiR5OW0w&dib_tag=se&keywords=Nike+sneakers&qid=1769196700&sr=8-122&xpid=D1B3IaH-Zvul3,"#868661 in Clothing, Shoes & Jewelry",#372 in Boys' Running Shoes,Nike sneakers,10000,B09V7YWMKF,,,24-01-2026,19-01-2026,,DJ6038-003,boys
ANI COMMERCE,https://www.amazon.com/sp?seller=A2R04QTOH6NY8S,ANI COMMERCE LLC,"1207 Delaware Ave, #2991, Wilmington, DE, 19806, US",Nike,Nike Men's Air Max 90 Leather Low-Top Sneakers,,,4.4,https://www.amazon.com/dp/B07ZTW4N61,"#326065 in Clothing, Shoes & Jewelry",#2611 in Men's Fashion Sneakers,Nike sneakers,10000,B07ZTW4N61,7,B07ZTW4N61,24-01-2026,19-01-2026,,CN8490,mens
Amazon.com,https://www.amazon.com,,,Nike,Nike Kids' Court Borough Mid 2 Shoes,59,,4.7,https://www.amazon.com/Nike-Toddler-Borough-Stay-Put-Sneakers/dp/B07Z58BKJ8/ref=sr_1_153?dib=eyJ2IjoiMSJ9.m1ZUiaCC2G-kfoOct5uR5oAfDdprdnBzHWWtQl3CLXmhBmQrhOrdlJISaM7C8puzZYjB5jWKKaCx0SU-HSN_ChvlKHeL1HTvwzwEjbd0Now84fe5B7aW199FYjobrbGO2DYlT5Hoy5-qx_rEAmqHTaL4jbUscnkGiN7_srIL5BMksBxGYByIu0kxhIs1EeQw3ORmiWVJdRuqltaQJb1lG2DPQ9hCG5b_YbVIDmaw-oEOV39_Y5M0SeXg-lELMS1boe7eOFu_g_M79WxdDBDeloxGDwp3aF_r1fezUk7pWtg.c6uZXQCqmzQf58mk0hzjfWoUNnWMq5vohA61QUtRLwQ&dib_tag=se&keywords=Nike+sneakers&qid=1769196729&sr=8-153&xpid=D1B3IaH-Zvul3,,,Nike sneakers,10000,B07Z58BKJ8,,,24-01-2026,19-01-2026,,,
FEETARA,https://www.amazon.com/sp?seller=A3M484NSVT9LIL,FURTURA LLC,"13511 NE KERR RD STE 9, VANCOUVER, WA, 98682-4981, US",Nike,Nike Men's React SFB Carbon Outdoor Shoes,,,3.8,https://www.amazon.com/dp/B0BPDQVFP9,"#156711 in Clothing, Shoes & Jewelry",#373 in Men's Road Running Shoes,Nike sneakers,10000,B0BPDQVFP9,6,B0BPDQVFP9,24-01-2026,19-01-2026,,CK9951002,mens
TyroneW,https://www.amazon.com/sp?seller=A3KR10Y2WAEPZW,Us aaronwan trading inc,"78 hyacinth rd, levittown, NY, 11756, US",Nike,Nike Mens Manoadome 844358 003 - Size 10 Black/White,,,4.3,https://www.amazon.com/Nike-Manoadome-Hight-Fashion-Sneakers/dp/B00BA1K5KI/ref=sr_1_131?dib=eyJ2IjoiMSJ9.DWfKZuhOL77mCjhk1afjg1AMiD-IdGcXSmpF_wd1vtxSoTtf3PdbnQrC-2cAnCCAw1xCM_Vv_FCBTe8TFDmMVhM6I84PbF9RebrW1PxbM62EMZ1MoM-8QzZDV8qpMGU0LrLauEKLsmt3iYxKZrHmO4k0CXNdU_2SzSSQ1M9nznOfVE9kD5G84qZfhjKiQYaJsxVmeGdjfVcIjBUtaqxB_fM4nSeNW-tNSec5v-s6bKIg0ki2bfKeiWggcbUF76GiwBybe25jsDScATXtkZBWvJmP2bnBy2vdIwLkMWHzFpY.SzK56UvbwIaXtr_-fxRc1ve0OeuM6agN5PpsiR5OW0w&dib_tag=se&keywords=Nike+sneakers&qid=1769196700&sr=8-131&xpid=D1B3IaH-Zvul3,"#511290 in Clothing, Shoes & Jewelry",#559 in Men's Activewear Polos,Nike sneakers,10000,B00BA1K5KI,,,24-01-2026,19-01-2026,,844358-003,mens
,,,,Nike,Nike Men's Reax 8 TR Cross Training Shoes,,,4.2,https://www.amazon.com/dp/B084KJ84T5,,,Nike sneakers,10000,B084KJ84T5,7.5,B084KJ84T5,24-01-2026,19-01-2026,,,mens
"Quality Shop, LLC",https://www.amazon.com/sp?seller=A36SNRHNJD3Z6X,QUALITY SHOP LLC,"1360 UNION HILL RD, STE 10E, ALPHARETTA, GA, 30004, US",Nike,Nike Mens Nature,60,,4.5,https://www.amazon.com/Nike-Running-Trainers-Sneakers-Platinum/dp/B0D2DBJXB9/ref=sr_1_159?dib=eyJ2IjoiMSJ9.m1ZUiaCC2G-kfoOct5uR5oAfDdprdnBzHWWtQl3CLXmhBmQrhOrdlJISaM7C8puzZYjB5jWKKaCx0SU-HSN_ChvlKHeL1HTvwzwEjbd0Now84fe5B7aW199FYjobrbGO2DYlT5Hoy5-qx_rEAmqHTaL4jbUscnkGiN7_srIL5BMksBxGYByIu0kxhIs1EeQw3ORmiWVJdRuqltaQJb1lG2DPQ9hCG5b_YbVIDmaw-oEOV39_Y5M0SeXg-lELMS1boe7eOFu_g_M79WxdDBDeloxGDwp3aF_r1fezUk7pWtg.c6uZXQCqmzQf58mk0hzjfWoUNnWMq5vohA61QUtRLwQ&dib_tag=se&keywords=Nike+sneakers&qid=1769196729&sr=8-159&xpid=D1B3IaH-Zvul3,"#71550 in Clothing, Shoes & Jewelry",#392 in Men's Fashion Sneakers,Nike sneakers,10000,B0D2DBJXB9,8.5,B0D2DBJXB9,24-01-2026,19-01-2026,,FB1276,mens
The Most Hated Footwear Haven,https://www.amazon.com/sp?seller=A2OLAL1S1705Q5,Jesus Nungaray,"609 Woodgate st, LANCASTER, CA, 93534, US",Nike,Nike Air Max 270 - Black/Black-Black,,,4.1,https://www.amazon.com/Nike-Womens-Ah6789-006-Black-Black-Black/dp/B07G7TYHYF/ref=sr_1_133?dib=eyJ2IjoiMSJ9.DWfKZuhOL77mCjhk1afjg1AMiD-IdGcXSmpF_wd1vtxSoTtf3PdbnQrC-2cAnCCAw1xCM_Vv_FCBTe8TFDmMVhM6I84PbF9RebrW1PxbM62EMZ1MoM-8QzZDV8qpMGU0LrLauEKLsmt3iYxKZrHmO4k0CXNdU_2SzSSQ1M9nznOfVE9kD5G84qZfhjKiQYaJsxVmeGdjfVcIjBUtaqxB_fM4nSeNW-tNSec5v-s6bKIg0ki2bfKeiWggcbUF76GiwBybe25jsDScATXtkZBWvJmP2bnBy2vdIwLkMWHzFpY.SzK56UvbwIaXtr_-fxRc1ve0OeuM6agN5PpsiR5OW0w&dib_tag=se&keywords=Nike+sneakers&qid=1769196700&sr=8-133&xpid=D1B3IaH-Zvul3,"#553543 in Clothing, Shoes & Jewelry",#920 in Women's Road Running Shoes,Nike sneakers,10000,B07G7TYHYF,,,24-01-2026,19-01-2026,,,
FullCartRA,https://www.amazon.com/sp?seller=A1RHDXK5VTBVZF,Fullcart Commerce LLC,"9030 Nw Murdock ST., PORTLAND, OR, 97229, US",Nike,Nike Womens Free Metcon,91,,4.7,https://www.amazon.com/dp/B0C4LPJRCH,"#244183 in Clothing, Shoes & Jewelry",#634 in Women's Road Running Shoes,Nike sneakers,10000,B0C4LPJRCH,7,B0C4LPJRCH,24-01-2026,19-01-2026,,DV3950,womens
Speedy Shipsters,https://www.amazon.com/sp?seller=AY3QFE0Y6TAN8,VV SALES LLC,"306 West El Norte Pkwy #327, Ste N, Escondido, California, 92026, US",Nike,"Nike Air Max Dn Premium Women's Shoes (HV5760-675, Pink Foam/Aluminum/Metallic Silver/Off Noir)",85.5,,5,https://www.amazon.com/dp/B0DZQV8JLL,"#241344 in Clothing, Shoes & Jewelry",#1938 in Women's Fashion Sneakers,Nike sneakers,10000,B0DZQV8JLL,5.5,B0DZQV8JLL,24-01-2026,19-01-2026,,HV5760-675,womens
PLVSVLTRAGROUP LLC,https://www.amazon.com/sp?seller=A1B45OCAUQONTY,PLVS VLTRA GROUP LLC,"29647 Calle Tampico, CATHEDRAL CITY, CA, 92234, US",Nike,Nike Men's SB Zoom Janoski OG+ Skate Shoes,,,4.5,https://www.amazon.com/dp/B0CWVNWVZS,"#205550 in Clothing, Shoes & Jewelry",#44 in Men's Skateboarding Shoes,Nike sneakers,10000,B0CWVNWVZS,4,B0CWVNWVZS,24-01-2026,19-01-2026,,FD6757-001,mens
KAVMSH,https://www.amazon.com/sp?seller=A2H1JD33RD3F7I,KAVMSH LLC,"2757 e riata alley, EAGLE MOUNTAIN, UT, 84005, US",Nike,"Nike, Women's Fitness and Exercise Sneakers",,,4.5,https://www.amazon.com/dp/B07QLMB1PG,"#303487 in Clothing, Shoes & Jewelry",#2509 in Women's Fashion Sneakers,Nike sneakers,10000,B07QLMB1PG,5,B07QLMB1PG,24-01-2026,19-01-2026,,AR3566,girls
Cactus Kicks,https://www.amazon.com/sp?seller=A2L1YEBP7B8ES1,Francisco Davila,"4830 Pagosa Springs Dr, Las Vegas, NEVADA, 89139-5773, US",Nike,Nike Men's Air Max Shoes,,,4.4,https://www.amazon.com/Nike-Sneaker-Adult-Black-Anthracite-White/dp/B078X1QPWQ/ref=sr_1_99?dib=eyJ2IjoiMSJ9.DWfKZuhOL77mCjhk1afjg1AMiD-IdGcXSmpF_wd1vtxSoTtf3PdbnQrC-2cAnCCAw1xCM_Vv_FCBTe8TFDmMVhM6I84PbF9RebrW1PxbM62EMZ1MoM-8QzZDV8qpMGU0LrLauEKLsmt3iYxKZrHmO4k0CXNdU_2SzSSQ1M9nznOfVE9kD5G84qZfhjKiQYaJsxVmeGdjfVcIjBUtaqxB_fM4nSeNW-tNSec5v-s6bKIg0ki2bfKeiWggcbUF76GiwBybe25jsDScATXtkZBWvJmP2bnBy2vdIwLkMWHzFpY.SzK56UvbwIaXtr_-fxRc1ve0OeuM6agN5PpsiR5OW0w&dib_tag=se&keywords=Nike+sneakers&qid=1769196700&sr=8-99&xpid=D1B3IaH-Zvul3,"#342508 in Clothing, Shoes & Jewelry",#675 in Men's Road Running Shoes,Nike sneakers,10000,B078X1QPWQ,,,24-01-2026,19-01-2026,,CT1265-300,mens
XOE COMPANY,https://www.amazon.com/sp?seller=A3VMPVRQCOSTU3,XOE INC,"144 Simonson Rd, Mineola, NY, 11501, US",Nike,"Nike Men's Nike Flex Control TR4 Athletic Shoe, Black/White-Dark Smoke Grey-Smoke Grey, 8 Regular US",75,,4.2,https://www.amazon.com/Nike-Control-Trainer-White-Dark-Regular/dp/B07RLYXS3C/ref=sr_1_150?dib=eyJ2IjoiMSJ9.m1ZUiaCC2G-kfoOct5uR5oAfDdprdnBzHWWtQl3CLXmhBmQrhOrdlJISaM7C8puzZYjB5jWKKaCx0SU-HSN_ChvlKHeL1HTvwzwEjbd0Now84fe5B7aW199FYjobrbGO2DYlT5Hoy5-qx_rEAmqHTaL4jbUscnkGiN7_srIL5BMksBxGYByIu0kxhIs1EeQw3ORmiWVJdRuqltaQJb1lG2DPQ9hCG5b_YbVIDmaw-oEOV39_Y5M0SeXg-lELMS1boe7eOFu_g_M79WxdDBDeloxGDwp3aF_r1fezUk7pWtg.c6uZXQCqmzQf58mk0hzjfWoUNnWMq5vohA61QUtRLwQ&dib_tag=se&keywords=Nike+sneakers&qid=1769196729&sr=8-150&xpid=D1B3IaH-Zvul3,"#538646 in Clothing, Shoes & Jewelry",#968 in Men's Road Running Shoes,Nike sneakers,10000,B07RLYXS3C,,,24-01-2026,19-01-2026,,CD0197,mens
Lobo Solutions LLC,https://www.amazon.com/sp?seller=A1PAJNV0OKXO61,Alex Lucas Cardenas,"4544 SWITCHBACK ST, NORTH LAS VEGAS, NV, 89031, US",,Nike Womens Nike Shox R4,,,,https://www.amazon.com/dp/B07QQSXLN4,"#547340 in Clothing, Shoes & Jewelry",#925 in Women's Road Running Shoes,Nike sneakers,10000,B07QQSXLN4,9,B07QQSXLN4,24-01-2026,19-01-2026,,AR3565,womens
Voadera,https://www.amazon.com/sp?seller=A3E9SVC4GWPUCM,EisaBooks,"11592 K-Tel Drive, Minnetonka, MN, 55343, US",Nike,Nike Womens W Nike Air Zoom Pegasus 40,82.84,,4.2,https://www.amazon.com/dp/B0BQZ2L3XQ,"#219138 in Clothing, Shoes & Jewelry",#56 in Women's Cycling Shoes,Nike sneakers,10000,B0BQZ2L3XQ,5.5,B0BQZ2L3XQ,24-01-2026,19-01-2026,,DV3854-101,womens
