platform,source_category,Category,normalized_Brand,product_family,Product Name,product_title,Price (USD),Price (USD),price_valid,raw_condition,normalized_condition,raw_sku,Normalized SKU,Total Items Sold (Product),Location of Product,Seller Name,Product URL,Positive Review Percentage % (seller),Number of Reviews (seller),demo_priority_flag,demo_priority_score,demo_eligible,Brand,Product Name,Condition,Location
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan 1,Air Jordan 1 SE Low Sail Archaeo Brown - HF1567-200,Air Jordan 1 SE Low Sail Archaeo Brown - HF1567-200,12500,12500,True,New with box,New,HF1567-200,HF1567-200,,,MXC OFFICIAL,https://www.ebay.com/itm/365218577901,98.4,5322,1,10,False,Jordan,Air Jordan 1 Se Low Sail Archaeo Brown - Hf1567-200,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Air Jordan Spizike Cement Toro Red Sneakers Size 6Y Youth FQ3950 600 New,Air Jordan Spizike Cement Toro Red Sneakers Size 6Y Youth FQ3950 600 New,84.99,84.99,True,New without box,New - No Box,FQ3950,FQ3950,1,Sanford,ENDLESSDREAMS,https://www.ebay.com/itm/326844232722,99.9,7211,0,0.004,False,Jordan,Air Jordan Spizike Cement Toro Red Sneakers Size 6Y Youth Fq3950 600 New,New Without Box,Sanford
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Lift Off Sneakers White Black Red AR4430 106 Men's Shoes Size,Air Jordan Lift Off Sneakers White Black Red AR4430 106 Men's Shoes Size,95.88,95.88,True,New with box,New,AR4430,AR4430,7,Fort Worth,Lukaskicksandmore,https://www.ebay.com/itm/136809488453,99.7,12941,0,0.028,False,Jordan,Air Jordan Lift Off Sneakers White Black Red Ar4430 106 Men'S Shoes Size,New / Unworn,Fort Worth
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Alpha 1 Mens Sz 10.5 Varsity Red Sneakers 392813-001 Used No Box,Air Jordan Alpha 1 Mens Sz 10.5 Varsity Red Sneakers 392813-001 Used No Box,75,75,True,Pre-owned - Good,Used - Good,392813-001,392813-001,,Melrose,PT-Treasures2005,https://www.ebay.com/itm/388951986996,99,566,0,0,False,Jordan,Air Jordan Alpha 1 Mens Sz 10.5 Varsity Red Sneakers 392813-001 Used No Box,Good / Lightly Used,Melrose
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Stay Loyal 2 DQ8401-103 Sneakers Men's White Gray Lifestyle Shoes,Air Jordan Stay Loyal 2 DQ8401-103 Sneakers Men's White Gray Lifestyle Shoes,119.97,119.97,True,New with box,New,DQ8401-103,DQ8401-103,1,Flushing,Authentic Source USA,https://www.ebay.com/itm/116751343943,99.3,3357,0,0.004,False,Jordan,Air Jordan Stay Loyal 2 Dq8401-103 Sneakers Men'S White Gray Lifestyle Shoes,New / Unworn,Flushing
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Men's Jordan Session Black/Varsity Red (IB3731 001),Men's Jordan Session Black/Varsity Red (IB3731 001),79.95,79.95,True,New with box,New,IB3731,IB3731,1,Chicago,The Spot Chicago,https://www.ebay.com/itm/127580617737,99.7,42346,0,0.004,False,Jordan,Men'S Jordan Session Black/Varsity Red (Ib3731 001),New / Unworn,Chicago
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Mens Size 11 Air Jordan 9 G White University Blue Golf Cleats FJ5934 101,Mens Size 11 Air Jordan 9 G White University Blue Golf Cleats FJ5934 101,104.99,104.99,True,New with box,New,FJ5934,FJ5934,2,Parrish,YH FOOTWEAR,https://www.ebay.com/itm/116849913686,99.7,7623,0,0.008,False,Jordan,Mens Size 11 Air Jordan 9 G White University Blue Golf Cleats Fj5934 101,New / Unworn,Parrish
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Sixty Plus Men's White Laney Sneakers 364806-171,Jordan Sixty Plus Men's White Laney Sneakers 364806-171,130,130,True,New with box,New,364806-171,364806-171,,Jericho,Expedite Kicks,https://www.ebay.com/itm/336212184042,99.6,2061,0,0,False,Jordan,Jordan Sixty Plus Men'S White Laney Sneakers 364806-171,New / Unworn,Jericho
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,"Air Jordan Max Aura 2 Cool Gray Sneakers, Size 13 BNIB CK6636-012","Air Jordan Max Aura 2 Cool Gray Sneakers, Size 13 BNIB CK6636-012",100,100,True,New with box,New,CK6636-012,CK6636-012,1,Scranton,sneakermarket,https://www.ebay.com/itm/267500011631,99.8,10444,0,0.004,False,Jordan,"Air Jordan Max Aura 2 Cool Gray Sneakers, Size 13 Bnib Ck6636-012",New / Unworn,Scranton
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Jordan Spizike Low Bred - FQ1759-006,Jordan Spizike Low Bred - FQ1759-006,14100,14100,True,New with box,New,FQ1759-006,FQ1759-006,,,MXC OFFICIAL,https://www.ebay.com/itm/364697156299,98.4,5322,0,0,False,Jordan,Jordan Spizike Low Bred - Fq1759-006,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Jumpman Diamond PF Low White Mismatch - CI1209-101,Jordan Jumpman Diamond PF Low White Mismatch - CI1209-101,103,103,True,New with box,New,CI1209-101,CI1209-101,102,Hong Kong,MXC OFFICIAL,https://www.ebay.com/itm/364630891118,98.4,5322,0,0.408,False,Jordan,Jordan Jumpman Diamond Pf Low White Mismatch - Ci1209-101,New / Unworn,Hong Kong
