platform,source_category,normalized_category,normalized_Brand,product_family,Product Name,product_title,Price (USD),clean_price_usd,price_valid,raw_condition,normalized_condition,Item model number,raw_sku,normalized_sku,Number of Ratings,Customer Rating,Seller,product url,ASIN,Selected Size,Department,demo_priority_flag,demo_priority_score,demo_eligible
amazon,Jordan sneakers,Sneakers,Jordan,Jordan Sneakers,Nike Men's Jordan True Flight Shoes,Nike Men's Jordan True Flight Shoes,,,False,New,New,342964-072,342964-072,342964-072,,4.3,Revel Commerce,https://www.amazon.com/dp/B0D9PL2BCS,B0D9PL2BCS,7.5,mens,0,0,False
amazon,Jordan sneakers,Sneakers,Jordan,Jordan Sneakers,"NIKE Jordan True Flight Big Kids' Shoes (343795-074, Black/Hyper Royal/Photo Blue/Barely Volt) Size 5.5","NIKE Jordan True Flight Big Kids' Shoes (343795-074, Black/Hyper Royal/Photo Blue/Barely Volt) Size 5.5",,,False,New,New,343795-074,343795-074,343795-074,,5,Fresno Sneaker Seller Inc.,https://www.amazon.com/Jordan-Flight-Shoes-343795-074-Barely/dp/B0CVZ4HF7B/ref=sr_1_284?dib=eyJ2IjoiMSJ9.lfNJC2YxD6CY20Osb6XEHEGz3exyUKBKc1fK-lpoReVx4RIHaLAce06XmycUeqquBx3EkHibI7bHOnJ51wiCcPz-ohLCy3Qye7iyyXuku0-dd9T2JuhWq1b91UG6yUdMhA72w6h4_bvtc2pba1pyuG8BdMjNbuWlv4E8LJ8jgNyPqj1IL80AhAAieGc7CU5CkgMYlAbOnQga6jfdTnnT-DJRy9ArNpu3QhJ5TZpkNs9NGRxfVJZwPaLOx3m51tU0PyhhbnQwTplw5Z4D-JcIiVKvZZMx5kNqFEb7rzoBcCI.ZggKaofZoUYTJqLbOX-uaWYJffB1-Itd5o1FN6SeGwI&dib_tag=se&keywords=Jordan+sneakers&qid=1769598924&sr=8-284&xpid=7IryzEdmOwZYj,B0CVZ4HF7B,,unisex-child,0,0,False
amazon,Jordan sneakers,Sneakers,Jordan,Jordan Sneakers,Nike Jordan True Flight GS Boys Shoes,Nike Jordan True Flight GS Boys Shoes,,,False,New,New,343795-160,343795-160,343795-160,,,GS ECOM LLC,https://www.amazon.com/dp/B0D8S7MLVT,B0D8S7MLVT,5 Big Kid,boys,0,0,False
amazon,Air Jordan sneakers,Sneakers,Nike,Nike Air Force 1,Nike Air Force 1 Men's Sneakers,Nike Air Force 1 Men's Sneakers,150.81,150.81,True,New,New,CW2288-111,CW2288-111,CW2288-111,,4.6,R&M Whole Sale,https://www.amazon.com/Nike-Mens-Force-Basketball-Shoes/dp/B08QBFSPS6/ref=sr_1_31?dib=eyJ2IjoiMSJ9.lV5rIamrryZHhjQoeXa5NoOZcwSuOdpcLlbrpL0xGoPi4wDlNGzGJDIJk-tx1FjPn-ie_mt2uX9Ibr0Qt5aFEV06rJDwYzKJRhS-CNHRGll5xDU2bH00O4dkg0FXXsquAWC4ADCU1ITDE_mm_ZGJr50QyppD2rB7rMUzVNUapGgExeaYkGgTg_QZClrlYdNbCtzXPk5leLQjJubCK9R01YJby36wPQC9TmRj1scxkOP7oW09L9nLIqn-acV7aAmBSMNhMJ9DNhq2sNoaw1ifCNtWdFlcjfxRGisxpSQcmMU.36DZxmPrlin-s3oSvre-bvoY4LDQm5uoUTQwkmHRX4c&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597670&sr=8-31,B08QBFSPS6,,mens,1,10,True
amazon,Jordan sneakers,Sneakers,Nike,Jordan Sneakers,Nike Men's Air Flight Lite Mid Sneaker,Nike Men's Air Flight Lite Mid Sneaker,99.99,99.99,True,New,New,DD6958060,DD6958060,DD6958060,,4.5,Eras Elite,https://www.amazon.com/Nike-Jordan-Access-Running-Red-Black/dp/B07ZTW6M7Z/ref=sr_1_115?dib=eyJ2IjoiMSJ9.1VuM2QMNFMK7VU76c8UF7T4SXvm35RbJtpQkzAUsEHJ2rpTnvUj-xECLYi8eJHN3aSDJAhMQuHEuO73il2f2y6wgoAZe0O68y5vJk5EnoJ4aIzPQevw-FT_QXuSZsItteqoPBbqswhyP3PoFxJjdZYT8_vQ-widvdn-MlV-WJZRYUCuRE47SOgGVONflCA1O1PypAATKcFOxJBX4M7QwwIGDhV_sCLTEIkYD__FpZcXwiAMXJto6QCDwE71MFQ9xWQnpM53vkSTJYo8-zw73lxwctf24rQw9yCbP0SrPcZ4.QJ8jBNTXYybdk-2ofYmKMapbx4NHaHFxlNtrl1uUYZ4&dib_tag=se&keywords=Jordan+sneakers&qid=1769198139&sr=8-115&xpid=nXjk8ayRGkN3X,B07ZTW6M7Z,8,mens,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan 11,Retro 'Legend Blue' Air Jordan 11 GS (2024),Retro 'Legend Blue' Air Jordan 11 GS (2024),,,False,New,New,378038-104,378038-104,378038-104,,5,Stadium Goods,https://www.amazon.com/Jordan-Kids-Retro-Legend-378038/dp/B0DM5J568G/ref=sr_1_95?dib=eyJ2IjoiMSJ9.bE9F5gffINPOtfFpuFdNmYZc1_QBPsKVFRqT127K9pMRhuHErQGt3tyHfHzZollyjVCPPvVPT6BIHFpbpa04BqVBsVoXqJfgzTHW7b8dhO0iDWJy6787OS4h8VIl0gu-73qM1fLkMejR_4CERAiT2B6c4vXktnzh3JcpBPL1ItzflaHVd-KQ-9aGaQoVkUDGvN2NuTc_HX0XJYvdO9UGTFo_l-glonK1g2KqCBFn4RRLf04WxnckakFadUqCJCrdk1ZJCkutooFrc1wUf-G3db48osc55Eu3or6BIqFPWA0.96eC7YyVrzyUiuG7DRa490DB64xcZxuTEuHGLOeQKN8&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769597681&sr=8-95&xpid=9wbIeO2E2wuAq,B0DM5J568G,,unisex-child,1,10,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Youth Air 6 Retro GS 384665 063 Bordeaux - Size,Jordan Youth Air 6 Retro GS 384665 063 Bordeaux - Size,,,False,New,New,384665-063,384665-063,384665-063,,4.6,Stadium Goods,https://www.amazon.com/dp/B09B21HCBW,B09B21HCBW,4 Big Kid,unisex-child,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Men's AIR Retro 13 Basketball Shoes,Jordan Men's AIR Retro 13 Basketball Shoes,,,False,New,New,414571-016,414571-016,414571-016,,4.4,ShopSW,https://www.amazon.com/dp/B094C5GJZN,B094C5GJZN,7.5,mens,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Mens Air 13 Retro 414571 167 Del Sol - Size 11,Jordan Mens Air 13 Retro 414571 167 Del Sol - Size 11,,,False,New,New,414571-167,414571-167,414571-167,,4.3,ShopSW,https://www.amazon.com/Jordan-Mens-Air-Retro-414571/dp/B09WF69318/ref=sr_1_261?dib=eyJ2IjoiMSJ9.0EWwqvVvgrcPHa4OkVg_rp02vWVGHMQa2gDw1lX99kTchL61tefRumHbaZnZCXui6u200aPtti00OaB6AHJToksn4Z4bsKWdev0IfnsydFzOeRFvXstcnR0D3an65jPIKbqSDa8By8132tcTYyblVSOZyrFDmM0pcKoD0Y70hnSLpLy-yhtTVJSA-lmEzUSolVfvlmErC80cAIPvejWCTdvzGyioMsV0FuITxfrD9mUg4jg4iySX39Ptaym4AHVElEPD5RIKchLhNWaILCTwpQtF0dqq-p0wN1zNFS1E2OQ.FUAz8pGBBcmBhgPP5SxnKdB0-Tiah8sm8n7qQ-mb9V4&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769197507&sr=8-261&xpid=1s_YYW3qmJhf2,B09WF69318,,unisex-adult,0,0,False
amazon,Air Jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Nike Jordan Youth Air 5 Retro GS 440888 600 Raging Bull 2021 - Size 6Y,Nike Jordan Youth Air 5 Retro GS 440888 600 Raging Bull 2021 - Size 6Y,,,False,New,New,440888-600,440888-600,440888-600,,4.7,Stadium Goods,https://www.amazon.com/Jordan-Raging-Varsity-Black-Wht-440888/dp/B08YQTDNM5/ref=sr_1_275?dib=eyJ2IjoiMSJ9.0EWwqvVvgrcPHa4OkVg_rp02vWVGHMQa2gDw1lX99kTchL61tefRumHbaZnZCXui6u200aPtti00OaB6AHJToksn4Z4bsKWdev0IfnsydFzOeRFvXstcnR0D3an65jPIKbqSDa8By8132tcTYyblVSOZyrFDmM0pcKoD0Y70hnSLpLy-yhtTVJSA-lmEzUSolVfvlmErC80cAIPvejWCTdvzGyioMsV0FuITxfrD9mUg4jg4iySX39Ptaym4AHVElEPD5RIKchLhNWaILCTwpQtF0dqq-p0wN1zNFS1E2OQ.FUAz8pGBBcmBhgPP5SxnKdB0-Tiah8sm8n7qQ-mb9V4&dib_tag=se&keywords=Air+Jordan+sneakers&qid=1769197507&sr=8-275&xpid=1s_YYW3qmJhf2,B08YQTDNM5,,unisex-child,0,0,False
